id_transaccion,fecha,fecha_hora,producto,categoria,cantidad,precio_unitario,subtotal,descuento_pct,descuento_monto,total,region,vendedor,canal,cliente_id
TXN-00001,2023-09-08,2023-09-08 20:06:43,Adaptador WiFi,Componentes,1,23.05,23.05,10,2.31,20.74,Centro,Carlos Ruiz,Teléfono,CLI-0017
TXN-00002,2024-06-01,2024-06-01 17:12:45,Laptop HP,Computadoras,5,826.86,4134.3,5,206.72,3927.58,Centro,Laura Sánchez,Online,CLI-0230
TXN-00003,2023-06-13,2023-06-13 14:17:09,Cable HDMI,Cables,3,12.41,37.230000000000004,0,0.0,37.23,Sur,Diego Torres,Tienda,CLI-0048
TXN-00004,2024-09-10,2024-09-10 09:46:29,SSD 1TB,Almacenamiento,2,110.31,220.62,10,22.06,198.56,Centro,Carlos Ruiz,Teléfono,CLI-0041
TXN-00005,2024-01-06,2024-01-06 20:04:02,Hub USB-C,Accesorios,1,47.92,47.92,30,14.38,33.54,Sur,Sofía Martínez,Tienda,CLI-0120
TXN-00006,2024-04-09,2024-04-09 14:10:23,Soporte Laptop,Accesorios,1,36.8,36.8,10,3.68,33.12,Este,Juan Pérez,App Móvil,CLI-0037
TXN-00007,2023-09-08,2023-09-08 15:17:59,Cable HDMI,Cables,1,13.34,13.34,25,3.34,10.0,Centro,Juan Pérez,App Móvil,CLI-0029
TXN-00008,2024-02-15,2024-02-15 12:58:36,"Monitor Samsung 27""",Monitores,4,319.3,1277.2,10,127.72,1149.48,Este,Juan Pérez,Teléfono,CLI-0203
TXN-00009,2023-05-27,2023-05-27 12:47:35,Mousepad Gaming,Accesorios,2,21.65,43.3,20,8.66,34.64,Centro,Sofía Martínez,Teléfono,CLI-0299
TXN-00010,2024-06-05,2024-06-05 21:03:55,SSD 1TB,Almacenamiento,3,116.68,350.04,0,0.0,350.04,Norte,María López,Online,CLI-0217
TXN-00011,2024-09-02,2024-09-02 16:16:35,Cable HDMI,Cables,1,11.86,11.86,15,1.78,10.08,Norte,Carlos Ruiz,App Móvil,CLI-0175
TXN-00012,2024-04-09,2024-04-09 20:56:46,Mouse Logitech,Accesorios,5,28.75,143.75,0,0.0,143.75,Este,María López,Tienda,CLI-0153
TXN-00013,2023-07-23,2023-07-23 21:10:34,Soporte Laptop,Accesorios,3,41.1,123.30000000000001,30,36.99,86.31,Centro,Ana García,App Móvil,CLI-0251
TXN-00014,2023-11-11,2023-11-11 12:56:36,Laptop HP,Computadoras,1,830.13,830.13,10,83.01,747.12,Norte,Carlos Ruiz,Teléfono,CLI-0036
TXN-00015,2023-05-12,2023-05-12 17:10:16,Micrófono USB,Audio,1,70.45,70.45,0,0.0,70.45,Centro,Laura Sánchez,Online,CLI-0277
TXN-00016,2024-12-31,2024-12-31 19:41:23,Micrófono USB,Audio,1,73.21,73.21,5,3.66,69.55,Oeste,Roberto Díaz,Tienda,CLI-0127
TXN-00017,2024-08-25,2024-08-25 18:14:00,"Monitor Samsung 27""",Monitores,1,273.83,273.83,0,0.0,273.83,Norte,Ana García,Online,CLI-0035
TXN-00018,2023-03-14,2023-03-14 13:42:31,Mousepad Gaming,Accesorios,2,18.12,36.24,10,3.62,32.62,Sur,María López,Teléfono,CLI-0125
TXN-00019,2023-07-14,2023-07-14 19:27:22,Micrófono USB,Audio,2,69.61,139.22,15,20.88,118.34,Oeste,Laura Sánchez,Teléfono,CLI-0028
TXN-00020,2023-03-04,2023-03-04 14:51:55,Adaptador WiFi,Componentes,1,25.76,25.76,0,0.0,25.76,Norte,Juan Pérez,Online,CLI-0098
TXN-00021,2023-07-07,2023-07-07 12:55:59,Hub USB-C,Accesorios,2,49.48,98.96,15,14.84,84.12,Norte,Roberto Díaz,Tienda,CLI-0026
TXN-00022,2023-04-06,2023-04-06 07:10:26,Adaptador WiFi,Componentes,1,27.49,27.49,0,0.0,27.49,Oeste,Roberto Díaz,Online,CLI-0206
TXN-00023,2023-01-03,2023-01-03 08:59:50,Mousepad Gaming,Accesorios,1,18.23,18.23,15,2.73,15.5,Oeste,Sofía Martínez,Teléfono,CLI-0285
TXN-00024,2023-07-14,2023-07-14 09:37:47,Adaptador WiFi,Componentes,1,26.08,26.08,0,0.0,26.08,Centro,Ana García,App Móvil,CLI-0030
TXN-00025,2024-06-27,2024-06-27 17:05:54,Laptop HP,Computadoras,2,915.14,1830.28,25,457.57,1372.71,Sur,Carlos Ruiz,Tienda,CLI-0121
TXN-00026,2023-09-10,2023-09-10 09:39:05,SSD 1TB,Almacenamiento,3,110.87,332.61,30,99.78,232.83,Oeste,Diego Torres,App Móvil,CLI-0105
TXN-00027,2023-09-29,2023-09-29 19:41:19,Adaptador WiFi,Componentes,1,26.07,26.07,5,1.3,24.77,Oeste,Diego Torres,Tienda,CLI-0005
TXN-00028,2023-04-13,2023-04-13 12:32:16,RAM 16GB,Componentes,2,81.93,163.86,30,49.16,114.7,Sur,Diego Torres,Tienda,CLI-0126
TXN-00029,2024-07-10,2024-07-10 18:51:41,Auriculares Bluetooth,Audio,2,57.41,114.82,20,22.96,91.86,Centro,Ana García,App Móvil,CLI-0054
TXN-00030,2023-04-20,2023-04-20 11:17:18,Mousepad Gaming,Accesorios,1,18.53,18.53,0,0.0,18.53,Centro,Juan Pérez,App Móvil,CLI-0105
TXN-00031,2024-06-01,2024-06-01 09:05:40,Adaptador WiFi,Componentes,2,25.66,51.32,10,5.13,46.19,Oeste,Sofía Martínez,Tienda,CLI-0002
TXN-00032,2023-06-15,2023-06-15 17:45:27,Auriculares Bluetooth,Audio,1,63.24,63.24,10,6.32,56.92,Centro,Ana García,Tienda,CLI-0039
TXN-00033,2024-07-12,2024-07-12 14:37:35,Mousepad Gaming,Accesorios,1,20.75,20.75,0,0.0,20.75,Sur,Laura Sánchez,Online,CLI-0022
TXN-00034,2024-01-02,2024-01-02 12:42:06,Webcam HD,Periféricos,5,77.82,389.09999999999997,0,0.0,389.1,Este,Laura Sánchez,Online,CLI-0122
TXN-00035,2024-02-27,2024-02-27 20:59:21,Soporte Laptop,Accesorios,5,37.29,186.45,0,0.0,186.45,Oeste,Juan Pérez,App Móvil,CLI-0082
TXN-00036,2023-02-09,2023-02-09 07:12:52,Micrófono USB,Audio,3,72.81,218.43,15,32.76,185.67,Oeste,Diego Torres,App Móvil,CLI-0117
TXN-00037,2024-02-13,2024-02-13 10:49:17,"Monitor Samsung 27""",Monitores,1,271.41,271.41,5,13.57,257.84,Este,Laura Sánchez,App Móvil,CLI-0015
TXN-00038,2023-07-02,2023-07-02 13:02:06,Mouse Logitech,Accesorios,1,32.25,32.25,10,3.22,29.03,Centro,Laura Sánchez,App Móvil,CLI-0161
TXN-00039,2023-04-29,2023-04-29 18:12:16,SSD 1TB,Almacenamiento,2,122.54,245.08,25,61.27,183.81,Norte,Laura Sánchez,Tienda,CLI-0267
TXN-00040,2024-01-08,2024-01-08 19:58:21,Mousepad Gaming,Accesorios,2,21.22,42.44,5,2.12,40.32,Centro,Diego Torres,Tienda,CLI-0154
TXN-00041,2023-12-01,2023-12-01 13:35:08,Hub USB-C,Accesorios,1,48.08,48.08,15,7.21,40.87,Sur,Laura Sánchez,Teléfono,CLI-0090
TXN-00042,2024-07-15,2024-07-15 09:18:13,Cable HDMI,Cables,2,13.17,26.34,15,3.95,22.39,Oeste,Diego Torres,Teléfono,CLI-0227
TXN-00043,2024-04-29,2024-04-29 21:47:10,RAM 16GB,Componentes,1,82.8,82.8,25,20.7,62.1,Norte,Sofía Martínez,App Móvil,CLI-0048
TXN-00044,2024-11-19,2024-11-19 21:12:09,Soporte Laptop,Accesorios,4,43.61,174.44,5,8.72,165.72,Norte,Ana García,Online,CLI-0244
TXN-00045,2024-04-11,2024-04-11 19:36:12,Cable HDMI,Cables,1,13.9,13.9,0,0.0,13.9,Oeste,Roberto Díaz,Teléfono,CLI-0125
TXN-00046,2023-04-20,2023-04-20 12:11:51,Teclado Mecánico,Accesorios,2,92.8,185.6,0,0.0,185.6,Centro,Roberto Díaz,Tienda,CLI-0286
TXN-00047,2024-04-12,2024-04-12 16:42:33,"Monitor Samsung 27""",Monitores,1,325.04,325.04,0,0.0,325.04,Centro,Diego Torres,Teléfono,CLI-0259
TXN-00048,2024-04-01,2024-04-01 23:55:30,SSD 1TB,Almacenamiento,2,127.92,255.84,25,63.96,191.88,Oeste,Sofía Martínez,Online,CLI-0142
TXN-00049,2024-10-03,2024-10-03 16:04:45,Micrófono USB,Audio,2,73.88,147.76,20,29.55,118.21,Este,Juan Pérez,App Móvil,CLI-0172
TXN-00050,2023-05-22,2023-05-22 15:44:09,Auriculares Bluetooth,Audio,1,64.71,64.71,0,0.0,64.71,Sur,Carlos Ruiz,Teléfono,CLI-0209
TXN-00051,2023-03-05,2023-03-05 15:24:57,Auriculares Bluetooth,Audio,5,60.5,302.5,15,45.38,257.12,Centro,Ana García,Teléfono,CLI-0245
TXN-00052,2024-02-04,2024-02-04 13:34:47,Laptop HP,Computadoras,3,979.68,2939.04,10,293.9,2645.14,Centro,Juan Pérez,Teléfono,CLI-0113
TXN-00053,2024-02-03,2024-02-03 19:51:25,Webcam HD,Periféricos,5,78.96,394.79999999999995,0,0.0,394.8,Sur,Roberto Díaz,Online,CLI-0274
TXN-00054,2024-07-31,2024-07-31 10:41:27,Laptop HP,Computadoras,4,973.24,3892.96,30,1167.89,2725.07,Sur,Roberto Díaz,Online,CLI-0026
TXN-00055,2024-04-10,2024-04-10 21:56:24,Webcam HD,Periféricos,2,78.06,156.12,5,7.81,148.31,Este,Laura Sánchez,App Móvil,CLI-0042
TXN-00056,2023-02-23,2023-02-23 11:14:41,RAM 16GB,Componentes,4,72.3,289.2,25,72.3,216.9,Norte,Ana García,Tienda,CLI-0127
TXN-00057,2023-06-06,2023-06-06 16:42:07,"Monitor Samsung 27""",Monitores,1,320.34,320.34,30,96.1,224.24,Centro,Juan Pérez,Teléfono,CLI-0132
TXN-00058,2024-09-13,2024-09-13 22:07:49,Micrófono USB,Audio,1,68.15,68.15,30,20.44,47.71,Sur,Sofía Martínez,Tienda,CLI-0297
TXN-00059,2024-11-24,2024-11-24 12:25:45,Laptop HP,Computadoras,1,977.19,977.19,30,293.16,684.03,Sur,Carlos Ruiz,Online,CLI-0053
TXN-00060,2023-05-04,2023-05-04 18:50:02,Disco Externo 2TB,Almacenamiento,1,94.89,94.89,30,28.47,66.42,Este,Laura Sánchez,App Móvil,CLI-0036
TXN-00061,2024-03-06,2024-03-06 03:27:23,Hub USB-C,Accesorios,1,51.47,51.47,0,0.0,51.47,Oeste,María López,Teléfono,CLI-0091
TXN-00062,2024-09-22,2024-09-22 17:49:30,Disco Externo 2TB,Almacenamiento,1,90.38,90.38,10,9.04,81.34,Oeste,Laura Sánchez,App Móvil,CLI-0166
TXN-00063,2023-10-13,2023-10-13 07:48:29,Soporte Laptop,Accesorios,3,37.95,113.85000000000001,0,0.0,113.85,Centro,Laura Sánchez,App Móvil,CLI-0015
TXN-00064,2024-05-14,2024-05-14 21:16:21,RAM 16GB,Componentes,1,85.6,85.6,0,0.0,85.6,Este,Sofía Martínez,Tienda,CLI-0265
TXN-00065,2024-05-15,2024-05-15 12:44:30,"Monitor Samsung 27""",Monitores,1,275.13,275.13,15,41.27,233.86,Oeste,Roberto Díaz,Tienda,CLI-0048
TXN-00066,2023-11-10,2023-11-10 14:30:35,Webcam HD,Periféricos,2,75.54,151.08,5,7.55,143.53,Centro,Diego Torres,Teléfono,CLI-0282
TXN-00067,2023-10-05,2023-10-05 12:07:46,Auriculares Bluetooth,Audio,1,58.21,58.21,20,11.64,46.57,Sur,Diego Torres,Tienda,CLI-0275
TXN-00068,2023-08-10,2023-08-10 13:46:37,Micrófono USB,Audio,3,72.65,217.95000000000002,5,10.9,207.05,Centro,Sofía Martínez,Tienda,CLI-0100
TXN-00069,2023-11-06,2023-11-06 17:08:17,Webcam HD,Periféricos,1,75.63,75.63,0,0.0,75.63,Norte,Ana García,App Móvil,CLI-0065
TXN-00070,2023-04-16,2023-04-16 18:18:30,Adaptador WiFi,Componentes,6,26.83,160.98,20,32.2,128.78,Oeste,Roberto Díaz,App Móvil,CLI-0095
TXN-00071,2023-04-27,2023-04-27 12:31:04,Laptop HP,Computadoras,3,855.44,2566.32,20,513.26,2053.06,Centro,Ana García,Online,CLI-0077
TXN-00072,2023-03-29,2023-03-29 03:35:48,Micrófono USB,Audio,1,70.87,70.87,10,7.09,63.78,Oeste,Juan Pérez,Teléfono,CLI-0231
TXN-00073,2024-03-15,2024-03-15 18:03:39,Mousepad Gaming,Accesorios,1,19.76,19.76,30,5.93,13.83,Norte,Juan Pérez,Online,CLI-0136
TXN-00074,2023-06-27,2023-06-27 11:00:26,Adaptador WiFi,Componentes,3,22.9,68.69999999999999,5,3.43,65.27,Oeste,Roberto Díaz,App Móvil,CLI-0017
TXN-00075,2024-12-20,2024-12-20 02:43:14,"Monitor Samsung 27""",Monitores,3,287.28,861.8399999999999,10,86.18,775.66,Este,Juan Pérez,Teléfono,CLI-0059
TXN-00076,2023-09-30,2023-09-30 02:03:10,Hub USB-C,Accesorios,3,47.24,141.72,0,0.0,141.72,Este,Sofía Martínez,Teléfono,CLI-0064
TXN-00077,2023-10-06,2023-10-06 16:28:05,RAM 16GB,Componentes,3,83.01,249.03000000000003,15,37.35,211.68,Centro,Ana García,Teléfono,CLI-0166
TXN-00078,2023-08-23,2023-08-23 18:37:01,Cable HDMI,Cables,1,12.34,12.34,0,0.0,12.34,Este,Ana García,Online,CLI-0241
TXN-00079,2023-07-05,2023-07-05 13:40:52,Hub USB-C,Accesorios,1,51.5,51.5,10,5.15,46.35,Oeste,Carlos Ruiz,Teléfono,CLI-0179
TXN-00080,2023-06-14,2023-06-14 20:31:18,SSD 1TB,Almacenamiento,1,115.99,115.99,0,0.0,115.99,Oeste,Ana García,Teléfono,CLI-0046
TXN-00081,2024-02-18,2024-02-18 00:42:55,Auriculares Bluetooth,Audio,4,57.02,228.08,0,0.0,228.08,Centro,Roberto Díaz,Teléfono,CLI-0028
TXN-00082,2024-05-25,2024-05-25 21:03:13,"Monitor Samsung 27""",Monitores,2,301.1,602.2,30,180.66,421.54,Este,María López,App Móvil,CLI-0225
TXN-00083,2023-01-30,2023-01-30 19:51:15,Mousepad Gaming,Accesorios,1,20.78,20.78,0,0.0,20.78,Sur,Sofía Martínez,Tienda,CLI-0283
TXN-00084,2024-04-17,2024-04-17 20:53:09,SSD 1TB,Almacenamiento,1,110.23,110.23,0,0.0,110.23,Oeste,Sofía Martínez,App Móvil,CLI-0213
